amfi_code,scheme_name,fund_house,scheme_type,scheme_category,category,isin_growth
152076,360 ONE Balanced Hybrid Fund- Direct Plan - Growth,360 ONE Mutual Fund,Open Ended Schemes,Hybrid Scheme - Balanced Hybrid Fund,Balanced Hybrid,INF579M01AY9
122715,360 ONE Dynamic Bond Fund Direct Plan Growth,360 ONE Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,Dynamic Bond,INF579M01266
151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,360 ONE Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,ELSS,INF579M01AN2
151796,360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH,360 ONE Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Flexi Cap,INF579M01AS1
131580,360 ONE Focused Fund-Direct Plan-Growth,360 ONE Mutual Fund,Open Ended Schemes,Equity Scheme - Focused Fund,Focused,INF579M01902
125345,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,360 ONE Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Liquid,INF579M01621
153774,360 ONE Multi Asset Allocation Fund - Direct Plan - Growth,360 ONE Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,Multi Asset,INF579M01BM2
153703,360 ONE Overnight Fund - Direct Plan - Growth,360 ONE Mutual Fund,Open Ended Schemes,Debt Scheme - Overnight Fund,Overnight,INF579M01BG4
149318,360 ONE QUANT FUND DIRECT GROWTH,360 ONE Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF579M01AI2
146407,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA DIRECT GROWTH,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,Children,INF209KB1E84
145486,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Overnight Fund,Overnight,INF209KB1ZH2
154438,ALPHAGREP MULTI ASSET ALLOCATION FUND-DIRECT-GROWTH,AlphaGrep Mutual Fund,Open Ended Schemes,Hybrid Schemes - Multi Asset Allocation Fund,Multi Asset,INF2VOA01012
153827,ANGEL ONE GOLD ETF FOF- DIRECT GROWTH,Angel One Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF1J2R01098
153529,ANGEL ONE NIFTY 50 INDEX FUND-DIRECT-GROWTH,Angel One Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF1J2R01072
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,Angel One Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF1J2R01023
153956,ANGEL ONE NIFTY TOTAL MARKET MOMENTUM QUALITY 50 INDEX FUND - DIRECT GROWTH,Angel One Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF1J2R01122
154206,ANGEL ONE SILVER ETF FOF -DIRECT GROWTH,Angel One Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF1J2R01155
151435,AXIS CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund- DIRECT PLAN-GROWTH,Axis Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF846K012O1
154043,Abakkus Flexi Cap Fund - Direct - Growth,Abakkus Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Flexi Cap,INF2JJD01136
154477,Abakkus Large & Mid Cap Fund - Direct  Plan - Growth,Abakkus Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,Mid Cap,INF2JJD01193
154051,Abakkus Liquid Fund - Direct Plan - Growth,Abakkus Mutual Fund,Open Ended Schemes,Income/Debt Oriented Schemes - Liquid Fund,Liquid,INF2JJD01029
154215,Abakkus Small Cap Fund - Direct Plan - Growth,Abakkus Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,Small Cap,INF2JJD01177
132185,Aditya Birla Sun Life Aggressive Hybrid Omni FOF- Direct Plan - Growth Option,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF084M01ET2
119526,Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,Arbitrage,INF209K01VP1
153736,Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Index Funds - Equity Funds,Index,INF209KC1589
153740,Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Index Funds - Equity Funds,Index,INF209KC1613
153081,Aditya Birla Sun Life BSE India Infrastructure Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Index Funds - Equity Funds,Index,INF209KC1332
131670,Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Growth Option,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Balanced Advantage,INF084M01DJ5
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Banking & PSU,INF209K01YN0
125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209K014W1
149295,Aditya Birla Sun Life Business Cycle Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209KB14D2
151427,Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 INDEX FUND - Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB14S0
153124,Aditya Birla Sun Life Conglomerate Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209KC1373
132183,Aditya Birla Sun Life Conservative Hybrid Active FOF- Direct Plan - Growth Option,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF084M01EQ8
119591,Aditya Birla Sun Life Consumption Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209K01WC7
119533,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,Corporate Bond,INF209K01S38
134387,Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,Credit Risk,INF209KA1K88
150702,Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB14N1
150938,Aditya Birla Sun Life Crisil IBX 60:40 SDL + AAA PSU APR 2026 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB10P4
150353,Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB19H2
151577,Aditya Birla Sun Life Crisil IBX Gilt Apr 2028 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB11U2
152267,Aditya Birla Sun Life Crisil IBX Gilt Apr 2033 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB19Y7
152659,Aditya Birla Sun Life Crisil IBX Gilt June 2027 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KC1076
150778,Aditya Birla Sun Life Crisil IBX Gilt-Apr-2029 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB12O3
150698,Aditya Birla Sun Life Crisil IBX Gilt-April 2026 Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KB10N9
153030,Aditya Birla Sun Life Crisil-IBX AAA Financial Services Index-Sep 2027 Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KC1290
152947,Aditya Birla Sun Life Crisil-IBX AAA NBFC-HFC Index-Sep 2026 Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KC1217
153443,Aditya Birla Sun Life Crisil-IBX Financial Services 9-12 Months Debt Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KC1498
153179,Aditya Birla Sun Life Crisil-IBX financial Services 3 to 6 months Debt Index Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,Index,INF209KC1456
120539,Aditya Birla Sun Life Digital India Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209K01VF2
132186,Aditya Birla Sun Life Dynamic Asset Allocation Omni FOF- Direct Plan - Growth Option,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,Fund of Funds,INF084M01EW6
119505,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,Dynamic Bond,INF209K01N82
119544,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,ELSS,INF209K01UN8
148637,Aditya Birla Sun Life ESG Integration Strategy Fund-Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Sectoral,INF209KB1U76
120517,Aditya Birla Sun Life Equity Hybrid'95 Fund - Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,Aggressive Hybrid,INF209K01ZC0
132995,Aditya Birla Sun Life Equity Savings Fund - Direct Plan - Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,Equity Savings,INF209KA1TP9
