scheme_code,scheme_name,start_date,end_date,observations,cagr,volatility,sharpe_ratio,max_drawdown,category,fund_house,scheme_category
152076,360 ONE Balanced Hybrid Fund- Direct Plan - Growth,2023-10-03,2026-08-14,694,0.11980448454706938,0.07257978260455776,0.8335631554106665,-0.06669717337814318,Balanced Hybrid,360 ONE Mutual Fund,Hybrid Scheme - Balanced Hybrid Fund
122715,360 ONE Dynamic Bond Fund Direct Plan Growth,2013-06-25,2026-08-14,3172,0.07465623699716062,0.02700952446179886,0.5753810888539796,-0.08032731466751508,Dynamic Bond,360 ONE Mutual Fund,Debt Scheme - Dynamic Bond
151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,2023-01-02,2026-08-14,890,0.09358924563948867,0.12612246207904115,0.31417794141676725,-0.1538787621873675,ELSS,360 ONE Mutual Fund,Equity Scheme - ELSS
151796,360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH,2023-07-06,2026-08-14,765,0.18940660705111845,0.14968686651296192,0.862389127625414,-0.1811928141379583,Flexi Cap,360 ONE Mutual Fund,Equity Scheme - Flexi Cap Fund
131580,360 ONE Focused Fund-Direct Plan-Growth,2014-10-31,2026-08-14,2903,0.15670179693869524,0.16432815260772168,0.6246658822827537,-0.36570962852812494,Focused,360 ONE Mutual Fund,Equity Scheme - Focused Fund
125345,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,2013-11-13,2026-08-16,3647,0.06237115548402161,0.0020142108766618245,-3.3019179557593317,-0.0003911096139195269,Liquid,360 ONE Mutual Fund,Debt Scheme - Liquid Fund
153774,360 ONE Multi Asset Allocation Fund - Direct Plan - Growth,2025-08-22,2026-08-14,236,0.2613272151303303,0.1237303938537713,1.5444844774585844,-0.09873060648801135,Multi Asset,360 ONE Mutual Fund,Hybrid Scheme - Multi Asset Allocation
153703,360 ONE Overnight Fund - Direct Plan - Growth,2025-07-13,2026-08-16,331,0.05383828676204838,0.0010940976037266375,-14.853406189336463,0.0,Overnight,360 ONE Mutual Fund,Debt Scheme - Overnight Fund
149318,360 ONE QUANT FUND DIRECT GROWTH,2021-11-30,2026-08-14,1161,0.17085620846293814,0.16670274752448483,0.6910281453562784,-0.22385997021238846,Sectoral,360 ONE Mutual Fund,Equity Scheme - Sectoral/ Thematic
146407,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA DIRECT GROWTH,2019-02-12,2026-08-14,1847,0.123072774047702,0.1600126681088965,0.4487564302579175,-0.33917616126205086,Children,Aditya Birla Sun Life Mutual Fund,Solution Oriented Scheme - Children’s Fund
145486,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH,2018-11-02,2026-08-16,2492,0.9006239814968786,31.499282677502435,0.3174269640121055,0.0,Overnight,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Overnight Fund
154438,ALPHAGREP MULTI ASSET ALLOCATION FUND-DIRECT-GROWTH,2026-07-27,2026-08-14,15,0.5167840556737875,0.03342879718920981,9.283400675803714,-0.0031793711476945097,Multi Asset,AlphaGrep Mutual Fund,Hybrid Schemes - Multi Asset Allocation Fund
153827,ANGEL ONE GOLD ETF FOF- DIRECT GROWTH,2025-09-12,2026-08-17,227,0.4217850150752347,0.319751998945195,1.1130057639921034,-0.24450435887785893,Fund of Funds,Angel One Mutual Fund,Other Scheme - FoF Domestic
153529,ANGEL ONE NIFTY 50 INDEX FUND-DIRECT-GROWTH,2025-05-28,2026-08-17,302,-0.003958940137341327,0.12542473836435283,-0.4481715217303394,-0.15138151297953728,Index,Angel One Mutual Fund,Other Scheme - Index Funds
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,2025-03-05,2026-08-17,358,0.12136402449130568,0.14340458006217643,0.4714301419979986,-0.1481186067164424,Index,Angel One Mutual Fund,Other Scheme - Index Funds
153956,ANGEL ONE NIFTY TOTAL MARKET MOMENTUM QUALITY 50 INDEX FUND - DIRECT GROWTH,2025-11-27,2026-08-17,178,0.05676079089939545,0.18807642619451093,0.07547125990090399,-0.12783886445421833,Index,Angel One Mutual Fund,Other Scheme - Index Funds
154206,ANGEL ONE SILVER ETF FOF -DIRECT GROWTH,2026-03-06,2026-08-17,111,-0.20359775901005028,0.3992408108404713,-0.5368166814222972,-0.2382771689030011,Fund of Funds,Angel One Mutual Fund,Other Scheme - FoF Domestic
151435,AXIS CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund- DIRECT PLAN-GROWTH,2023-03-01,2026-08-14,842,0.07689406577820779,0.009038076334972457,1.8532548266813718,-0.003702431390511074,Index,Axis Mutual Fund,Other Scheme - Index Funds
154043,Abakkus Flexi Cap Fund - Direct - Growth,2025-12-30,2026-08-14,155,0.22055053972369398,0.16089604745942815,0.9673188731521952,-0.10682085456683654,Flexi Cap,Abakkus Mutual Fund,Equity Scheme - Flexi Cap Fund
154477,Abakkus Large & Mid Cap Fund - Direct  Plan - Growth,2026-08-06,2026-08-14,7,0.0276937997333786,0.033491251693091945,-1.0271960031793361,-0.0026844303042353745,Mid Cap,Abakkus Mutual Fund,Equity Scheme - Large & Mid Cap Fund
154051,Abakkus Liquid Fund - Direct Plan - Growth,2025-12-15,2026-08-16,207,0.05972967500495652,0.0014663114827366513,-8.582796102575834,-2.4194141533762092e-05,Liquid,Abakkus Mutual Fund,Income/Debt Oriented Schemes - Liquid Fund
154215,Abakkus Small Cap Fund - Direct Plan - Growth,2026-03-20,2026-08-14,100,0.7688331784340967,0.13461381641000472,3.9660781869477324,-0.04283578151112677,Small Cap,Abakkus Mutual Fund,Equity Scheme - Small Cap Fund
132185,Aditya Birla Sun Life Aggressive Hybrid Omni FOF- Direct Plan - Growth Option,2014-10-13,2026-08-14,2861,0.10856076189143304,0.07798894674110529,0.6481734815291079,-0.17302931184039316,Fund of Funds,Aditya Birla Sun Life Mutual Fund,Other Scheme - FoF Domestic
119526,Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,2013-01-02,2026-08-14,3350,0.0698007927954003,0.010958303124203062,0.8378443605676892,-0.005365827996996697,Arbitrage,Aditya Birla Sun Life Mutual Fund,Hybrid Scheme - Arbitrage Fund
153736,Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund-Direct Growth,2025-08-11,2026-08-14,248,0.09876803064866246,0.17422838095189175,0.29823212120178944,-0.15369628247982425,Index,Aditya Birla Sun Life Mutual Fund,Index Funds - Equity Funds
153740,Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Direct Growth,2025-08-11,2026-08-14,248,0.10511021946420285,0.13884729798883447,0.37717159535132355,-0.11373209772535808,Index,Aditya Birla Sun Life Mutual Fund,Index Funds - Equity Funds
153081,Aditya Birla Sun Life BSE India Infrastructure Index Fund-Direct Growth,2024-12-05,2026-08-14,418,-0.05082785915236232,0.19880900912472776,-0.47024758909959985,-0.2272919141250036,Index,Aditya Birla Sun Life Mutual Fund,Index Funds - Equity Funds
